scaffold orf hmm.id
8762 7 PF00297.17
43687 1 PF00297.17
9020 2 PF00297.17
1963 65 PF00297.17
9225 2 PF00297.17
62190 1 PF00297.17
27898 2 PF00297.17
4067 3 PF00297.17
460 131 PF00297.17
2919 12 PF00297.17
1443 67 PF00297.17
20429 2 PF00297.17
7521 211 PF00297.17
5796 32 PF00297.17
94202 4 PF00297.17
3233 255 PF00297.17
46336 4 PF00297.17
8801 7 PF00297.17
41271 1 PF00297.17
5974 48 PF00297.17
21584 175 PF00297.17
5513 44 PF00297.17
72885 3 PF00297.17
483 58 PF00297.17
38778 2 PF00297.17
92194 2 PF00297.17
54542 3 PF00297.17
59428 2 PF00297.17
32650 3 PF00297.17
12616 4 PF00297.17
8356 7 PF00297.17
8320 2 PF00297.17
1029 12 PF00297.17
3383 44 PF00297.17
55073 18 PF00297.17
6683 11 PF00297.17
41929 1 PF00297.17
70976 4 PF00297.17
54896 34 PF00297.17
56691 1 PF00297.17
14490 21 PF00297.17
75300 4 PF00297.17
47824 1 PF00297.17
58341 19 PF00297.17
60448 4 PF00297.17
66825 1 PF00297.17
78807 3 PF00297.17
40973 1 PF00297.17
39620 4 PF00297.17
69038 2 PF00347.18
16008 10 PF00347.18
47355 2 PF00347.18
460 146 PF00347.18
4666 2 PF00347.18
57109 2 PF00347.18
37319 1 PF00347.18
30596 21 PF00347.18
26299 3 PF00347.18
57198 4 PF00347.18
37308 5 PF00347.18
80904 3 PF00347.18
5974 32 PF00347.18
89044 9 PF00347.18
8320 17 PF00347.18
3233 240 PF00347.18
36448 1 PF00347.18
36316 6 PF00347.18
7935 10 PF00347.18
1963 50 PF00347.18
4106 14 PF00347.18
81024 1 PF00347.18
483 73 PF00347.18
1907 1 PF00347.18
3088 13 PF00347.18
54896 49 PF00347.18
2920 4 PF00347.18
40971 3 PF00347.18
5277 3 PF00347.18
65453 2 PF00347.18
15881 7 PF00347.18
7521 226 PF00347.18
8357 9 PF00347.18
4013 93 PF00347.18
5513 59 PF00347.18
35946 6 PF00347.18
8351 23 PF00347.18
21584 160 PF00347.18
1062 5 PF00347.18
82646 6 PF00347.18
36899 3 PF00347.18
58341 5 PF00347.18
1443 81 PF00347.18
1029 28 PF00347.18
55073 3 PF00347.18
8055 2 PF00347.18
1030 45 PF00347.18
4452 17 PF00347.18
32491 9 PF00347.18
32498 14 PF00347.18
13831 2 PF00347.18
1149 22 PF00347.18
37514 1 PF00347.18
86921 4 PF00347.18
37043 15 PF00347.18
70887 4 PF00347.18
46957 15 PF00347.18
67989 1 PF00347.18
38450 4 PF00347.18
64734 5 PF00347.18
119 150 PF00347.18
3383 26 PF00347.18
14490 5 PF00347.18
32526 8 PF00347.18
38133 2 PF00347.18
22755 1 PF00347.18
6451 18 PF00347.18
31064 1 PF00347.18
44169 5 PF00347.18
9155 1 PF00347.18
62996 4 PF00347.18
15101 7 PF00347.18
42976 1 PF00347.18
2916 2 PF00347.18
53782 1 PF00347.18
23347 1 PF00347.18
69599 6 PF00347.18
23123 3 PF00347.18
62382 7 PF00347.18
16968 1 PF00347.18
56274 4 PF00347.18
13332 18 PF00347.18
21578 4 PF00347.18
78489 1 PF00347.18
86456 1 PF00347.18
77951 1 PF00347.18
2125 190 PF00347.18
3233 246 PF00366.15
42535 2 PF00366.15
483 67 PF00366.15
34000 4 PF00366.15
88792 3 PF00366.15
8357 3 PF00366.15
26286 3 PF00366.15
5513 53 PF00366.15
55073 9 PF00366.15
54896 43 PF00366.15
53510 4 PF00366.15
8055 7 PF00366.15
1149 16 PF00366.15
18894 3 PF00366.15
38449 3 PF00366.15
37043 9 PF00366.15
9021 9 PF00366.15
52590 4 PF00366.15
6683 6 PF00366.15
41070 6 PF00366.15
28317 7 PF00366.15
1963 56 PF00366.15
22755 7 PF00366.15
32038 3 PF00366.15
3088 7 PF00366.15
6095 6 PF00366.15
4452 11 PF00366.15
61826 3 PF00366.15
2919 3 PF00366.15
43231 2 PF00366.15
460 140 PF00366.15
65212 7 PF00366.15
7935 4 PF00366.15
1030 39 PF00366.15
5277 8 PF00366.15
2551 4 PF00366.15
91381 4 PF00366.15
119 156 PF00366.15
21584 166 PF00366.15
32646 3 PF00366.15
30596 27 PF00366.15
12813 2 PF00366.15
1443 76 PF00366.15
46863 4 PF00366.15
41929 10 PF00366.15
75649 6 PF00366.15
41207 5 PF00366.15
82281 6 PF00366.15
32577 2 PF00366.15
46088 8 PF00366.15
4666 8 PF00366.15
8320 11 PF00366.15
13332 12 PF00366.15
5796 23 PF00366.15
6451 12 PF00366.15
15212 9 PF00366.15
35388 2 PF00366.15
52156 10 PF00366.15
30903 2 PF00366.15
71823 2 PF00366.15
32526 15 PF00366.15
71893 4 PF00366.15
32491 3 PF00366.15
52678 3 PF00366.15
46957 9 PF00366.15
4106 20 PF00366.15
58341 11 PF00366.15
7521 220 PF00366.15
91140 3 PF00366.15
1062 11 PF00366.15
54032 3 PF00366.15
32498 20 PF00366.15
3383 33 PF00366.15
5974 38 PF00366.15
74079 5 PF00366.15
33876 1 PF00366.15
14490 12 PF00366.15
1029 21 PF00366.15
71027 5 PF00366.15
55450 4 PF00366.15
64161 1 PF00366.15
50741 1 PF00366.15
21879 1 PF00366.15
2125 130 PF00380.14
26182 3 PF00380.14
56268 4 PF00380.14
74714 5 PF00380.14
67940 1 PF00380.14
28106 2 PF00380.14
5848 3 PF00380.14
34357 17 PF00380.14
49172 4 PF00380.14
5009 19 PF00380.14
1042 68 PF00380.14
14102 36 PF00380.14
10013 1 PF00380.14
30596 2 PF00380.14
22584 5 PF00380.14
40555 7 PF00380.14
54063 12 PF00380.14
17282 180 PF00380.14
3127 9 PF00380.14
13562 518 PF00380.14
5752 3 PF00380.14
4441 1 PF00380.14
36812 2 PF00380.14
22519 164 PF00380.14
7723 8 PF00380.14
17108 2 PF00380.14
705 373 PF00380.14
19467 2 PF00380.14
68523 1 PF00380.14
3944 8 PF00380.14
3772 4 PF00380.14
9769 3 PF00380.14
16147 6 PF00380.14
3319 5 PF00380.14
2978 18 PF00380.14
460 166 PF00380.14
6150 4 PF00380.14
45807 2 PF00380.14
11237 28 PF00380.14
46783 3 PF00380.14
1963 32 PF00380.14
14596 2 PF00380.14
41563 1 PF00380.14
15771 230 PF00380.14
8904 1 PF00380.14
47195 2 PF00380.14
64184 8 PF00380.14
60248 2 PF00380.14
1029 43 PF00380.14
94817 2 PF00380.14
17003 6 PF00380.14
221 887 PF00380.14
22295 2 PF00380.14
18526 6 PF00380.14
4425 3 PF00380.14
22979 6 PF00380.14
80525 9 PF00380.14
7531 209 PF00380.14
56847 4 PF00380.14
5974 19 PF00380.14
3383 8 PF00380.14
28489 4 PF00380.14
91746 2 PF00380.14
5159 3 PF00380.14
27057 2 PF00380.14
64600 2 PF00380.14
96524 1 PF00380.14
55366 1 PF00380.14
1404 122 PF00380.14
81764 5 PF00380.14
34361 1 PF00380.14
84394 3 PF00380.14
55753 1 PF00380.14
19699 4 PF00380.14
9058 1 PF00380.14
63104 9 PF00380.14
20261 3 PF00380.14
4295 6 PF00380.14
41081 1 PF00380.14
69814 3 PF00380.14
89579 1 PF00380.14
18995 3 PF00380.14
7153 13 PF00380.14
87203 3 PF00380.14
19699 5 PF00380.14
36448 2 PF00410.14
54896 48 PF00410.14
8351 22 PF00410.14
2916 1 PF00410.14
37308 4 PF00410.14
80904 4 PF00410.14
8357 8 PF00410.14
7521 225 PF00410.14
2920 3 PF00410.14
5513 58 PF00410.14
16968 2 PF00410.14
4666 3 PF00410.14
32491 8 PF00410.14
57109 1 PF00410.14
9021 14 PF00410.14
36316 7 PF00410.14
46957 14 PF00410.14
3233 241 PF00410.14
55073 4 PF00410.14
77951 2 PF00410.14
35946 7 PF00410.14
32526 9 PF00410.14
69038 1 PF00410.14
6683 2 PF00410.14
3088 12 PF00410.14
483 72 PF00410.14
56274 3 PF00410.14
460 145 PF00410.14
7935 9 PF00410.14
1963 51 PF00410.14
47355 3 PF00410.14
119 151 PF00410.14
13332 17 PF00410.14
82646 7 PF00410.14
1030 44 PF00410.14
38450 3 PF00410.14
64734 4 PF00410.14
21584 161 PF00410.14
65212 2 PF00410.14
5277 4 PF00410.14
4013 92 PF00410.14
8320 16 PF00410.14
1062 6 PF00410.14
86921 5 PF00410.14
57198 3 PF00410.14
53782 2 PF00410.14
4452 16 PF00410.14
22755 2 PF00410.14
8055 3 PF00410.14
30596 22 PF00410.14
33652 3 PF00410.14
88792 9 PF00410.14
4106 15 PF00410.14
13831 3 PF00410.14
6451 17 PF00410.14
5796 18 PF00410.14
1149 21 PF00410.14
37043 14 PF00410.14
1443 80 PF00410.14
90933 1 PF00410.14
70887 3 PF00410.14
44169 4 PF00410.14
42976 2 PF00410.14
32412 1 PF00410.14
15881 8 PF00410.14
91140 8 PF00410.14
1029 26 PF00410.14
5974 33 PF00410.14
3383 28 PF00410.14
26299 4 PF00410.14
32498 15 PF00410.14
41070 1 PF00410.14
58341 6 PF00410.14
16008 11 PF00410.14
76850 3 PF00410.14
38133 1 PF00410.14
21578 3 PF00410.14
29481 1 PF00410.14
65453 1 PF00410.14
89298 1 PF00410.14
73352 2 PF00410.14
56900 23 PF00410.14
14490 7 PF00410.14
40971 4 PF00410.14
21584 152 PF00411.14
8320 25 PF00411.14
1293 2 PF00411.14
40445 2 PF00411.14
34196 3 PF00411.14
5796 9 PF00411.14
48020 2 PF00411.14
14046 4 PF00411.14
9375 5 PF00411.14
4999 7 PF00411.14
29608 1 PF00411.14
119 143 PF00411.14
15840 4 PF00411.14
1963 40 PF00411.14
460 157 PF00411.14
30596 10 PF00411.14
42437 2 PF00411.14
7348 2 PF00411.14
4793 13 PF00411.14
8351 31 PF00411.14
56489 2 PF00411.14
56490 2 PF00411.14
31514 3 PF00411.14
7521 235 PF00411.14
1149 29 PF00411.14
6451 26 PF00411.14
14151 14 PF00411.14
148 2 PF00411.14
37043 23 PF00411.14
4452 24 PF00411.14
1368 8 PF00411.14
51339 3 PF00411.14
46957 24 PF00411.14
18695 5 PF00411.14
1030 52 PF00411.14
80768 3 PF00411.14
31878 16 PF00411.14
372 89 PF00411.14
373 3 PF00411.14
89891 6 PF00411.14
97072 3 PF00411.14
56985 128 PF00411.14
2828 7 PF00411.14
16008 2 PF00411.14
2125 182 PF00411.14
26229 2 PF00411.14
1326 399 PF00411.14
4106 4 PF00411.14
86910 2 PF00411.14
78343 1 PF00411.14
6764 172 PF00411.14
5974 24 PF00411.14
36893 3 PF00411.14
4013 116 PF00411.14
5159 8 PF00411.14
7728 1 PF00411.14
25925 4 PF00411.14
3383 13 PF00411.14
1029 38 PF00411.14
32498 6 PF00411.14
34274 1 PF00411.14
63104 4 PF00411.14
89652 1 PF00411.14
75902 11 PF00411.14
55823 1 PF00411.14
47588 1 PF00411.14
43174 1 PF00411.14
21578 6 PF00411.14
90412 1 PF00411.14
56900 27 PF00411.14
46957 23 PF00416.17
34196 4 PF00416.17
4999 6 PF00416.17
89652 2 PF00416.17
4452 23 PF00416.17
40498 2 PF00416.17
5796 10 PF00416.17
1030 51 PF00416.17
37043 22 PF00416.17
40445 1 PF00416.17
148 3 PF00416.17
1963 41 PF00416.17
14151 15 PF00416.17
119 144 PF00416.17
36893 4 PF00416.17
4793 12 PF00416.17
31514 4 PF00416.17
1293 3 PF00416.17
48020 1 PF00416.17
4013 115 PF00416.17
6451 25 PF00416.17
4106 5 PF00416.17
7521 234 PF00416.17
21584 153 PF00416.17
18695 4 PF00416.17
460 156 PF00416.17
56489 3 PF00416.17
56490 3 PF00416.17
3383 14 PF00416.17
8320 24 PF00416.17
5159 9 PF00416.17
26229 3 PF00416.17
32498 7 PF00416.17
1029 37 PF00416.17
8351 30 PF00416.17
31279 5 PF00416.17
36908 1 PF00416.17
372 88 PF00416.17
30908 1 PF00416.17
1368 9 PF00416.17
63104 3 PF00416.17
55823 2 PF00416.17
25925 3 PF00416.17
1149 28 PF00416.17
80768 2 PF00416.17
373 4 PF00416.17
5974 25 PF00416.17
51339 4 PF00416.17
2828 6 PF00416.17
34274 2 PF00416.17
58838 3 PF00416.17
47588 2 PF00416.17
14046 3 PF00416.17
30596 11 PF00416.17
56985 127 PF00416.17
1326 398 PF00416.17
89891 5 PF00416.17
80832 3 PF00416.17
15840 5 PF00416.17
6764 171 PF00416.17
31878 15 PF00416.17
7728 2 PF00416.17
2567 4 PF00416.17
7348 3 PF00416.17
2125 183 PF00416.17
75902 10 PF00416.17
16008 3 PF00416.17
9375 6 PF00416.17
21578 5 PF00416.17
67004 5 PF00416.17
56900 26 PF00416.17
42437 3 PF00416.17
4674 3 PF00416.17
32558 1 PF00416.17
72890 1 PF00416.17
61319 4 PF00416.17
1877 59 PF00416.17
697 25 PF00416.17
21309 6 PF00416.17
20209 3 PF00466.15
9613 2 PF00466.15
26343 4 PF00466.15
26534 2 PF00466.15
2007 20 PF00466.15
8287 3 PF00466.15
25607 8 PF00466.15
37283 1 PF00466.15
21118 3 PF00466.15
1450 42 PF00466.15
119 18 PF00466.15
55197 3 PF00466.15
78132 2 PF00466.15
14571 31 PF00466.15
13215 4 PF00466.15
9487 19 PF00466.15
20793 13 PF00466.15
6501 23 PF00466.15
460 120 PF00466.15
3935 2 PF00466.15
74147 3 PF00466.15
10306 4 PF00466.15
45152 2 PF00466.15
22961 3 PF00466.15
65045 3 PF00466.15
14805 3 PF00466.15
88548 4 PF00466.15
1099 32 PF00466.15
3233 384 PF00466.15
20135 2 PF00466.15
4071 2 PF00466.15
41979 1 PF00466.15
92403 3 PF00466.15
793 6 PF00466.15
54278 10 PF00466.15
88491 2 PF00466.15
67992 3 PF00466.15
9367 14 PF00466.15
63287 1 PF00466.15
3545 3 PF00466.15
59689 3 PF00466.15
20429 11 PF00466.15
27523 1 PF00466.15
1451 8 PF00466.15
15861 3 PF00466.15
1922 2 PF00466.15
7521 890 PF00466.15
3796 93 PF00466.15
66585 6 PF00466.15
85157 1 PF00466.15
82179 2 PF00466.15
94971 3 PF00466.15
38604 2 PF00466.15
94140 2 PF00466.15
6125 3 PF00466.15
1437 12 PF00466.15
12385 18 PF00466.15
1029 90 PF00466.15
90081 1 PF00466.15
76680 2 PF00466.15
55729 2 PF00466.15
9786 4 PF00466.15
20296 4 PF00466.15
79463 3 PF00466.15
1992 35 PF00466.15
55683 3 PF00466.15
52332 3 PF00466.15
7243 4 PF00466.15
27729 1 PF00466.15
74218 4 PF00466.15
94073 2 PF00466.15
7957 1 PF00466.15
49631 1 PF00466.15
72917 2 PF00466.15
65920 3 PF00466.15
74860 2 PF00466.15
36742 2 PF00466.15
25841 1 PF00466.15
12599 3 PF00466.15
21584 174 PF00573.17
32492 5 PF00573.17
13332 4 PF00573.17
32325 2 PF00573.17
22657 3 PF00573.17
9225 3 PF00573.17
3233 254 PF00573.17
27707 6 PF00573.17
69713 1 PF00573.17
9020 1 PF00573.17
30596 35 PF00573.17
46088 1 PF00573.17
27898 3 PF00573.17
4067 4 PF00573.17
8320 3 PF00573.17
1030 31 PF00573.17
46336 3 PF00573.17
41929 2 PF00573.17
460 132 PF00573.17
7521 212 PF00573.17
92194 1 PF00573.17
54896 35 PF00573.17
119 164 PF00573.17
1963 64 PF00573.17
55073 17 PF00573.17
6683 10 PF00573.17
16711 3 PF00573.17
4666 16 PF00573.17
2919 11 PF00573.17
483 59 PF00573.17
8762 6 PF00573.17
60448 3 PF00573.17
40793 4 PF00573.17
72885 4 PF00573.17
70976 3 PF00573.17
62190 2 PF00573.17
4452 3 PF00573.17
8055 15 PF00573.17
8356 6 PF00573.17
12616 3 PF00573.17
30471 5 PF00573.17
5513 45 PF00573.17
5796 31 PF00573.17
1443 68 PF00573.17
55337 2 PF00573.17
40973 2 PF00573.17
43687 2 PF00573.17
58341 18 PF00573.17
385 1 PF00573.17
39620 3 PF00573.17
78807 4 PF00573.17
47824 2 PF00573.17
42353 1 PF00573.17
52156 18 PF00573.17
54542 2 PF00573.17
46957 1 PF00573.17
1149 8 PF00573.17
14490 20 PF00573.17
50128 1 PF00573.17
50129 1 PF00573.17
3383 43 PF00573.17
1029 13 PF00573.17
5974 47 PF00573.17
56691 3 PF00573.17
36671 3 PF00573.17
54478 1 PF00573.17
21879 11 PF00573.17
20429 1 PF00573.17
58321 3 PF00573.17
17343 4 PF00573.17
21732 1 PF00573.17
27211 1 PF00573.17
8801 8 PF00573.17
59428 1 PF00573.17
5277 16 PF00573.17
75300 5 PF00573.17
67011 1 PF00573.17
14254 1 PF00573.17
71316 3 PF00573.17
94202 5 PF00573.17
32650 4 PF00573.17
15212 1 PF00573.17
33876 9 PF00573.17
90044 1 PF00573.17
25213 1 PF00573.17
38778 1 PF00573.17
37043 1 PF00573.17
12804 27 PF00750.14
484 49 PF00750.14
12035 2 PF00750.14
281 9 PF00750.14
18947 1 PF00750.14
5064 20 PF00750.14
46314 1 PF00750.14
7189 1 PF00750.14
447 94 PF00750.14
15443 3 PF00750.14
29482 1 PF00750.14
6155 129 PF00750.14
972 36 PF00750.14
19910 2 PF00750.14
85280 8 PF00750.14
11003 2 PF00750.14
46502 1 PF00750.14
33798 5 PF00750.14
94326 2 PF00750.14
8320 345 PF00750.14
23572 6 PF00750.14
21693 2 PF00750.14
51585 4 PF00750.14
40159 4 PF00750.14
5670 10 PF00750.14
20216 71 PF00750.14
64648 2 PF00750.14
87813 1 PF00750.14
59860 1 PF00750.14
42750 1 PF00750.14
4079 16 PF00750.14
19793 4 PF00750.14
87074 1 PF00750.14
80626 1 PF00750.14
1326 36 PF00750.14
58589 3 PF00750.14
59568 4 PF00750.14
483 43 PF00750.14
22235 1 PF00750.14
92541 2 PF00750.14
21872 2 PF00750.14
12338 8 PF00750.14
14236 4 PF00750.14
6764 45 PF00750.14
20508 3 PF00750.14
13928 7 PF00750.14
60084 2 PF00750.14
6888 1 PF00750.14
6944 66 PF00750.14
56985 28 PF00750.14
6506 1 PF00750.14
40508 2 PF00750.14
31947 2 PF00750.14
52714 1 PF00750.14
53955 3 PF00750.14
62794 1 PF00750.14
3279 4 PF00750.14
63088 1 PF00750.14
934 1 PF00750.14
41610 5 PF00750.14
28701 7 PF00750.14
2678 64 PF00750.14
36848 1 PF00750.14
63535 1 PF00750.14
54620 1 PF00750.14
2226 15 PF00750.14
93119 2 PF00750.14
7007 56 PF00750.14
52436 1 PF00750.14
91526 1 PF00750.14
74137 4 PF00750.14
67264 1 PF00750.14
46657 1 PF00750.14
30233 1 PF00750.14
30234 1 PF00750.14
80777 1 PF00750.14
20728 1 PF00750.14
82856 1 PF00750.14
14689 6 PF00750.14
71831 4 PF00750.14
91548 2 PF00750.14
88819 2 PF00750.14
58819 2 PF00750.14
3499 1 PF00750.14
72313 2 PF00750.14
64717 1 PF00750.14
3430 1 PF00750.14
71908 4 PF00750.14
40850 1 PF00750.14
69045 3 PF00750.14
7128 2 PF00750.14
6934 3 PF00750.14
18450 3 PF00750.14
13365 5 PF00750.14
52011 1 PF00750.14
58709 1 PF00750.14
67618 1 PF00750.14
1560 34 PF00750.14
68172 3 PF00750.14
45130 2 PF00750.14
32862 2 PF01025.14
6267 115 PF01025.14
10312 108 PF01025.14
20381 3 PF01025.14
1786 121 PF01025.14
8121 2 PF01025.14
6155 87 PF01025.14
82192 2 PF01025.14
9812 1 PF01025.14
3146 3 PF01025.14
18251 191 PF01025.14
31844 3 PF01025.14
60 75 PF01025.14
68433 2 PF01025.14
42664 1 PF01025.14
16965 3 PF01025.14
41403 2 PF01025.14
25115 11 PF01025.14
88790 4 PF01025.14
14974 18 PF01025.14
36594 2 PF01025.14
32114 8 PF01025.14
26805 3 PF01025.14
22627 1 PF01025.14
705 819 PF01025.14
5736 1 PF01025.14
19089 3 PF01025.14
12344 2 PF01025.14
52740 2 PF01025.14
49066 3 PF01025.14
48259 2 PF01025.14
49621 27 PF01025.14
37530 2 PF01025.14
10804 3 PF01025.14
6764 15 PF01025.14
83588 2 PF01025.14
36956 1 PF01025.14
3278 2 PF01025.14
55287 4 PF01025.14
16033 11 PF01025.14
3105 26 PF01025.14
4119 16 PF01025.14
380 123 PF01025.14
10632 36 PF01025.14
83430 2 PF01025.14
28418 6 PF01025.14
24195 3 PF01025.14
76169 3 PF01025.14
5001 66 PF01025.14
5503 3 PF01025.14
14349 5 PF01025.14
26624 2 PF01025.14
33131 2 PF01025.14
1641 137 PF01025.14
7221 1 PF01025.14
1957 24 PF01025.14
29033 17 PF01025.14
13396 3 PF01025.14
12346 2 PF01025.14
2462 2 PF01025.14
27583 3 PF01025.14
13192 2 PF01025.14
3748 19 PF01025.14
34152 2 PF01025.14
34500 1 PF01025.14
10222 4 PF01025.14
1176 3 PF01025.14
89930 2 PF01025.14
27869 3 PF01025.14
75636 4 PF01025.14
37131 2 PF01025.14
54765 2 PF01025.14
64178 7 PF01025.14
5481 2 PF01025.14
8323 1 PF01025.14
8324 1 PF01025.14
53860 2 PF01025.14
40585 1 PF01025.14
54110 3 PF01025.14
53860 3 PF01025.14
81713 1 PF01025.14
2561 1 PF01025.14
61749 1 PF01025.14
68105 2 PF01025.14
24186 3 PF01025.14
52019 1 PF01025.14
5741 5 PF01025.14
42057 2 PF01795.14
35036 7 PF01795.14
6721 3 PF01795.14
8233 2 PF01795.14
839 41 PF01795.14
172 24 PF01795.14
8232 2 PF01795.14
15654 7 PF01795.14
9494 10 PF01795.14
9646 2 PF01795.14
9645 2 PF01795.14
692 14 PF01795.14
